Validation Accuracy	Validation Loss	Training Accuracy	Training Loss
0.96	206348780.0	1.0	2277117.2
0.96	206333600.0	1.0	2276554.0
0.96	206317920.0	1.0	2275999.8
0.96	206303170.0	1.0	2275444.8
0.96	206287490.0	1.0	2274883.0
0.96	206271860.0	1.0	2274333.0
0.96	206257010.0	1.0	2273771.2
0.96	206241380.0	1.0	2273216.2
0.96	206225950.0	1.0	2272662.0
0.96	206210740.0	1.0	2272099.0
0.96	206195570.0	1.0	2271549.5
0.96	206180020.0	1.0	2270996.0
0.96	206164580.0	1.0	2270432.8
0.96	206149010.0	1.0	2269885.0
0.96	206134100.0	1.0	2269323.5
0.96	206118380.0	1.0	2268770.5
0.96	206102530.0	1.0	2268221.0
0.96	206087170.0	1.0	2267659.5
0.96	206072050.0	1.0	2267104.2
0.96	206056370.0	1.0	2266556.8
0.96	206040960.0	1.0	2265995.5
0.96	206025540.0	1.0	2265440.8
0.96	206009950.0	1.0	2264893.5
0.96	205994610.0	1.0	2264332.0
0.96	205978770.0	1.0	2263778.5
0.96	205963620.0	1.0	2263229.5
0.96	205947870.0	1.0	2262676.5
0.96	205932340.0	1.0	2262121.8
0.96	205916530.0	1.0	2261568.2
